sentence,label
"Further studies with a larger sample size, extended to other polymorphisms are needed to understand the influence of ABCB1 genetic variants on the risk of breast cancer.",0
This study sets the foundation for larger studies to evaluate the  superiority of TNP over traditional dressings in high-risk foot wounds.,0
We suggest early proactive consideration of PEG from age 8\\u2005years onwards to prevent  progressive growth failure.,0
"There is an urgent need for new strategies, including an understanding of why growth falters.",0
"These observations confirm the need of a rigorous monitoring of patients taking statins, in particular pre-diabetic patients or patients presenting with established risk factors for diabetes.",0
Future research could investigate how to  improve engagement at initial invitations.,0
"We present BMI outcomes  to allow an objective basis for patient counseling, risk stratification, maintaining access to orthopaedic surgical care, and maintaining hospital operating margins.",0
"Costs of care for  patients who were super obese, likewise, were increased.",0
"TRIAL REGISTRATION: Current Controlled Trials UMIN-ICDR UMIN 000013278 (Registered April 1, 2014).",0
Endoscopic band removal can be utilized with patients who have a more advanced BE and migration into the gastric lumen.,0
"In general, it  is recommended that the band be removed at the time of the diagnosis of the BE.",0
Our data describe the good compliance of paediatric T1D patients treated at eight paediatric units in Spain following international standards of metabolic control.,0
BE is one of the most severe complications of LAGB.,0
"For regular monitoring, only ALP assay is recommended, provided one abstains from repeat injection of vitamin D based on high ALP levels.",0
"Biochemical tests at initial presentation followed by vitamin D assay at 6 weeks and calcium, phosphate and ALP assays at 6 months is recommended in the monitoring of these patients.",0
"(Funded by River Vision Development and others; ClinicalTrials.gov number, NCT01868997 .)",0
"Despite routine oral VtD supplementation, most patients did not achieve satisfactory status.",0
"Despite statin therapy, high LDL-C levels and rates of possible and  probable FH were observed in some countries.",0
TRIAL REGISTRATION: ClinicalTrials.gov: NCT01562392.,0
PSMVT was found to occur uncommonly after LSG.,0
Our data cannot therefore support extension of current use of bevacizumab in MBC.,0
"Despite robust methodology, real-life data are exposed to important potential biases, and therefore, results need to be treated with caution.",0
These findings highlight the need for more prospective research into multicomponent physical activity interventions.,0
This study is the first to document amelioration of urinary incontinence symptoms in massive weight loss patients undergoing body-contouring  procedures.,0
"Future work will focus on evaluating  the mechanism of this outcome and documenting improvement in an objective, prospective manner.",0
""" Our study suggests that osteosarcopenic elements exist even in very young populations.",0
"Obesitys effect on HeRO catheters has not been amply addressed; therefore further prospective studies are warranted.""",0
"Although the inverse association attributable to these biomarkers is substantial, future research should explore benefits of exercise beyond these biomarkers of risk.",0
The specific mechanisms underlying the association between AMD and LIPC require further investigation.,0
""" HeRO catheters offer a reliable, and possibly the last, alternative  in hemodialysis access-challenged patients.",0
TRIAL REGISTRATION: Registered with Current Controlled Trials (Registration: ISRCTN55141306 ).,0
"The findings justify strategies to encourage the consumption of fortified cereal with milk by adolescents, either as a breakfast or a supper.",0
"CLINICAL TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry, ACTRN12610000522011.",0
"As the implementation of EN is simple and has good compliance, family EN is proven to be feasible.""",0
"Our findings support guidelines that advocate oxygen therapy, if required in patients with morbid obesity, be titrated to achieve a target Spo2 of 88-92%.",0
Larger prospective series are necessary to evaluate if the modest benefits are worth the risks of secondary LAGB.,0
"Some subjects were diagnosed with CD within a decade of serum collection, indicating that although most cases of undiagnosed CD are clinically  silent, some result in symptoms.",0
"CLINICAL QUESTION/LEVEL OF EVIDENCE: Therapeutic, IV.",0
We support its use for at least 1 week after discharge.,0
"Similarities in the pregabalin efficacy profiles, including time to onset and magnitude of response, were confirmed regardless of the neuropathic pain condition.",0
These data support the potential for extrapolating analgesic efficacy to other neuropathic pain conditions.,0
"Therefore, it has not been registered as a clinical intervention trial.""",0
TRIAL REGISTRATION: This study used an observational prospective design.,0
""" These results suggest that maternal eating and emotion responsiveness are important for understanding the interpersonal context of feeding behaviors, and child weight outcomes.",0
"The findings of this study substantiate the need for physical exercise to reduce  signs and symptoms associated with CVD risk, even among a young, healthy, generally active population.",0
"Further, that these results would appear to corroborate the concept of increasing physical activity, including aerobic activity, as a preventative measure.",0
MNA is a well-developed questionnaire which evaluates malnutrition in COPD patients.,0
"With the worldwide development of obesity and bariatric surgery, this study demonstrated that the operation should be proposed to patients with massive weight loss to improve quality of life.",0
"The improvements in cardiometabolic risk markers and cognitive performance after the berry beverage suggest preventive potential of berries with respect to type 2 diabetes, cardiovascular disease, and associated cognitive decline.",0
"Despite the minor complications reviewed, the degree of satisfaction of the patients is very high.",0
Readmission disparities behave differently across chronic conditions.,0
"OCTA is a dyeless, quick, and noninvasive method which allows to detect ischemic changes in DR and might be a useful tool in observing the progress of the disease and the response to anti-VEGF treatment in clinical practice.",0
"This finding was not seen when only using cross-sectional analyses, thus highlighting the importance of taking a life course approach.",0
This trial  was registered at clinicaltrials.gov as NCT02045784.,0
The highest readmission rates were not consistently observed for 1 particular race/ethnicity.,0
Our data indicate the iodine requirement in 2- to 5-mo-old infants is 70 Î¼g/d.,0
Prospective studies are needed to determine whether nutritional optimization can prevent significant WL and improve outcomes.,0
Study findings can impact pediatric chronic disease management to improve care for children with these conditions.,0
"Rigorous testing, including randomized controlled trials of large-scale implementations, is needed to examine how these school-based interventions might be used to improve the physical activity and fitness of larger populations of children.",0
"CLINICALTRIALS.GOV IDENTIFIERS: NCT00394901, NCT00553475, NCT00407745, NCT00424372, NCT00553280, NCT01202227.",0
Further prospective research with longer follow-up periods is needed to confirm or contrast the present results.,0
"In this largest published cohort, secondary banding of failed RYGB provides only limited additional weight loss.",0
"This emphasizes the critical importance of routine surveillance of 25-OHD and BMD, as well as consideration of alternative methods of supplementation after weaning off PN.",0
"(Funded by Novo Nordisk and others; DEVOTE ClinicalTrials.gov number, NCT01959529 .)",0
Measurement of WC added limited information to BMI in this cohort.,0
"Health practitioners should take possible Internet addiction, online activities, and physical activities into consideration in follow-up of obese adolescents.",0
Prepectoral reconstruction can be safely performed in patients with a BMI < 40 and in patients having postmastectomy radiation therapy.,0
Prepectoral reconstruction is a viable alternative to partial subpectoral reconstruction.,0
"The relationship between IOP, glaucoma, and  obesity deserves further study.",0
"However, OSA remained in a considerable proportion of patients even after substantial weight loss.",0
"We recommend that postoperative PSG  be considered for the evaluation of residual OSA, especially in patients with low minimum SaO2 levels and high supine AHI in preoperative PSG.",0
"Thus, the clinical impact of the findings is most likely limited.",0
"In this study, our findings showed a discrepancy between lifestyle-related practices and beliefs, and between each of these and evidence-based recommendations for maximal health, i.e., not smoking, several servings of fruit and vegetables and whole-grain foods daily, healthy weight, restorative sleep, and low-to-moderate stress levels.",0
A simple approach of offering an OGTT to women  25 years or older and/or with a BMI of 25kg/m2 or more is as good as more complex risk prediction models.,0
TRIAL REGISTRATION: ClinicalTrials.gov: NCT0186953.,0
Systematic Review Registration: PROSPERO CRD42013004608.,0
"In this cohort of healthy young children, we found little evidence to support the need for fasting prior to measurement of lipids.",0
This trial was registered at clinicaltrials.gov as NCT02669602.,0
Further longitudinal studies are needed to confirm our results.,0
"However, large well-designed studies with long-term follow-up are needed.",0
"Therefore, it is worthwhile to assess the long term effects of rising TSH levels  and inadequate iodine nutrition during pregnancy on the offspring to prevent even mild iodine deficiency.",0
Esophageal dysmotilities had a high prevalence in obese patients.,0
Research to identify more accurate (bio)markers is needed.,0
VAI is an optimal method to measure visceral adiposity to assess long-term CV outcomes and all-cause mortality in prevalent hemodialysis patients.,0
These findings require further validation in the ongoing prospective ODYSSEY OUTCOMES trial.,0
CLINICAL TRIAL REGISTRATION: URL: https://www.clinicaltrials.gov.,0
These results may have important implications for public health.,0
"CLINICAL QUESTION/LEVEL OF EVIDENCE: Therapeutic, II.",0
"Further studies are warranted, incorporating a range of host biomarkers, such as cytohistological, molecular, or biochemical measurements, in  order to address biological consequences of these dietary intakes in human oral health.",0
"This study provides evidence that a sample of the U.S. general public prefers the aesthetics of the oval umbilicoplasty incision, which contrasted with the lack of preference identified within this focus group of plastic surgeons.",0
Vitamin D and vitamin K supplementation should be considered prebariatric surgery in patients with diabetes or severe insulin resistance.,0
It is hoped that  our findings will facilitate establishment of adequate evidence-based awareness and preventive measures for Pakistani women.,0
It was also observed that mean age at diagnosis is a decade earlier than in western countries.,0
"Although the incidence of BIS > 60 are very common in obese patients, true awareness during anaesthesia infrequent in this group of patients  despite the type of anaesthesia, whether intravenous or inhalation.",0
Cancer 2017;123:948-56.Â© 2016 American Cancer Society.,0
Results of ongoing prospective trials should help to define the role of the RS assay in this setting.,0
Further prospective studies are required to determine the benefits of controlling visceral obesity for reducing CRC risk.,0
"Findings suggest a need for individual, comprehensive survivorship care plans to effectively address symptoms that impact work ability and, ultimately, the quality of life of cancer  survivors.",0
IMPLICATIONS FOR PRACTICE: Nurses are in a prime position to assess and intervene to alleviate attentional fatigue to improve work ability.,0
Weight reductions to achieve MCIDs for most HRQL instruments are markedly higher than the conventional threshold of 5% to 10%.,0
Community nurses should assess  the at-risk population and provide effective preventive strategies and programs to reduce the prevalence of malnutrition and frailty.,0
CLINICAL RELEVANCE: Community nurses should pay attention to the nutritional conditions of community-dwelling elderly persons.,0
"Further longitudinal study is needed to determine how WC and BMI compare in predicting outcomes, particularly for children with CKD identified as having obesity by 1 measure but not the other.",0
The results revealed that the evaluation of malnutrition risk should be conducted in older persons living in the community.,0
"Unique identifiers: NCT01507831, NCT01623115, NCT01709500, NCT01617655, NCT01644175, NCT01644188, NCT01644474, NCT01730040, NCT01730053, and NCT01709513.",0
Further prospective studies are necessary to explore the biological mechanisms underlying these sex-specific findings.,0
"They are more likely to be prescribed medications to treat these complications, suggesting they may have more severe disease.",0
"If  this association is replicated across larger studies with serial Mg and vascular  calcification measurements, interventions that increase serum Mg and their effect on vascular calcification warrant further investigation in the PD population.",0
Cell phone technology allows snoring to be evaluated in patients located in areas remote from a hospital.,0
"TRIAL REGISTRATION: ClinicalTrials.gov, NCT00876395 .",0
There is a clear need for an effective health promotion strategy for  the almost 40% overweight or obese Dubbo YAMs.,0
Cancer 2017;123:210-218.Â© 2016 American Cancer Society.,0
Registered on 2 April 2009.,0
A longer follow-up evaluation is required to accurately describe and assess specific risk factors for complications in this population.,0
The high rate of text message usage makes it feasible to recruit YAMs for a prospective study in which personalized text messages are used to promote healthy behaviours.,0
The study findings in relation to obesity and the prevalence of multiple risk factors for CVD are a particular cause of concern and shed considerable light on the current excess burden of CVD among farmers in Ireland.,0
"""More information on risk-taking behaviors  and STIs should be included in diabetes-specific preconception counseling programs, including RGPC.""",0
The efficacy and safety of everolimus plus trastuzumab and paclitaxel as first-line treatment for HER2+ advanced breast cancer in the Asian  subset was consistent with that reported previously in the overall population.,0
It may be important to target motivation specifically in any weight-related intervention in this group with incentives such as gym membership vouchers.,0
These results suggest that nutritional screening tools have poor sensitivity and are difficult to interpret in the acute setting.,0
A mindfulness-based intervention shows feasibility and acceptability in girls at-risk for T2D with depressive symptoms.,0
"In the future, understanding dietary patterns and acculturation process may be important for health immigrant  studies.",0
Interventions aimed at reducing weight and treating dyslipidaemia should be instituted early in order to reduce this risk.,0
"Among patients with type 2 diabetes at high risk for cardiovascular  events, degludec was noninferior to glargine with respect to the incidence of major cardiovascular events.",0
An urgent need exists for earlier HIV diagnosis  and better prevention of dyslipidemia in China.,0
"In the present study, almost one out of six beedi rollers displayed clinical signs of potential TON.",0
"Therefore, it may be used to monitor lifestyle modification to prevent development of diabetes among people with prediabetic conditions.",0
"However, with this cross-sectional study it is not possible to conclude if these  factors play a role individually or collectively or are a serendipitous association, for which large scale analytical studies are required.",0
"""Special attention is required in such patients while doing treatment planning.""",0
"The new onset GERD detected on scintigraphy may not be pathologic as there is a decrease in total acid production postsurgery; however, it still remains an important issue and needs long-term follow-up.",0
Further mechanistic research in larger cohorts is necessary to reconcile the potential role of T2D in UF risk.,0
The relatively small number of patients (P=.002) is a potential limitation.,0
LIMITATIONS: The heterogeneity of the study group (different diseases at different stages) could influence the generalizability of our findings.,0
Routine screening for malnutrition among geriatric patients would allow early diagnosis and prompt intervention.,0
Those experiencing severe snoring and/or who are obese should be told of what can be done to solve such problems.,0
"The analysis was limited by the small patient numbers, but lipid results were consistent with randomized controlled trials and previous case series.",0
"In a community sample of individuals using health care, 60% were statin eligible according to ACC/AHA guidelines and two-thirds of these patients  were prescribed a statin.",0
These findings support EHR-based population health efforts to initiate an  FH cascade-screening model and ensure higher quality care for this high-risk population and identify those who may benefit from advanced therapy.,0
Statin therapy in this population rarely went beyond low-moderate doses.,0
FH is often underdiagnosed and suboptimally treated in clinical practice.,0
Well designed prospective studies are needed to further clarify this relationship and its consequences for clinical practice.,0
Results are limited by high risk of bias.,0
Significance of protease inhibitor use was limited to studies using the strictest diagnostic criteria for GDM.,0
TRIAL REGISTRATION: Clinicaltrials.gov NCT01546727.,0
Level III Treatment Study in a Case Control Manner.,0
It provides  both diagnostic and therapeutic value preoperatively and its use should be advocated.,0
Protection from UFs by T2D exposure was observed regardless of medication type with slightly more protection among insulin users.,0
"However, the same digital image type and assessment method should be used when examining mammographic density across populations, or longitudinal changes in density within a single population.",0
They also indicate that LIBRA may provide a valid fully automated alternative to the more labour-intensive Cumulus.,0
The findings showed that Cumulus can be used to measure density on all types of digital images.,0
"Hypomotility of the esophageal body is the most common dysmotility, especially from the absence of significant waves.",0
These findings strongly suggest that screening of non-communicable diseases should be integrated into routine HIV care in Cambodia.,0
"Many children with achalasia relapse after initial treatment, undergoing multiple, different procedures, despite which symptoms persist and impact on quality of life.",0
"Interventions to improve the nutritional status of children, preventive measures  focused on household and personal hygiene and nutritional rehabilitation during severe diarrheal disease should be reinforced.",0
Service providers of programmes should focus on reaching these hard-to-reach groups.,0
"We strongly recommend that nutritional \\ufeffsupport\\ufeff, such as therapeutic feeding programs for severely or moderately underweight prisoners, and environmental health interventions of the prison setups should be urgently implemented to correct the uncovered nutritional problem and its associated factors for improving the health status of prisoners.",0
"For geriatrics, oncology, gastroenterology, and internal medicine, this ratio was even greater (1 out of 3â€“4).",0
One out of 7 patients was scored as undernourished.,0
"This study provides benchmark data on the prevalence of undernutrition, including more than half a million patients.",0
Laboratory  markers of nutrition can identify patients at risk of unplanned hospital readmission.,0
Measures oriented towards health behavior and psychosocial stress management should be encouraged among parents in order to decrease the risk of overweight/obesity in their children.,0
"Both the simulation study and the analysis of the Nursess Health Study, a case-control study of type 2 diabetes data with high dimensional SNP measurements, demonstrate the advantage of the network based approach over the competing alternatives.",0
"EEN using a jejunal feeding tube in neonates who have undergone a partial gastrectomy for gastric perforation is safe, easy, and has fewer complications than TPN.",0
"These data support further investigation into the mechanisms of RPL associated with glucose intolerance, but do not support testing for subclinical glucose intolerance in women with RPL.",0
The association between meeting/not meeting the PA recommendation and MetS differed with method.,0
The RPL patients and controls had a similar proportion of women with  elevated fructosamine considered diagnostic of diabetes.,0
"Further research is needed to evaluate clinical applications of the PA, such as a more accurate identification of malnourished cardiac surgery patients.",0
"Future studies with larger numbers of patients, limited to HCC and liver resections, are needed to verify our results.""",0
""" Our findings indicate that the G8 score, based on patients nutritional assessments, is a useful screening method for older HCC patients who  qualify for elective liver resection.",0
"Therefore, special attention should be given for  severely wasted children in the prevention and control of malaria.",0
"Since relative intensity is part of the current PA recommendation, it should be considered when assessing population PA and associated health risks in the older  adults.",0
"People starting at low potency should switch to a moderate pattern; more intensive therapies should be considered in who require a larger LDL-C reduction to reach therapeutic targets, patients with good treatment adherence who do not achieve the goal with a moderate pattern of therapy or patients at very high risk.",0
"More than half of students did not know about the health consequences of smoking, and the same result was recorded about the consumption of alcohol.",0
"The current study comprised a single-center prospective study; thus, additional, randomized control design studies are required.",0
The results of this  study provide empirical support for the safety and feasibility of HBHC when a child is diagnosed with type 1 diabetes.,0
""" Overall, there are only a few, well-designed and controlled studies  that compare hospital care to different models of home care.",0
"In the Hispanic/Latino population, dulaglutide efficacy and safety was consistent with that of the overall population.",0
"Further investigations are required to integrate and optimise the  HbA1c as a single, non-fasting, screening tool for GDM.",0
Future estimates of the burden of adiposity on health should include measures of central and general adiposity.,0
Our results suggest that pregnant women with an HbA1c ofâ‰¥5.4% (36\\u2005mmol/mol) should proceed with an OGTT.,0
Larger prospective studies are needed to elucidate the mechanisms for increased prevalence of hypertension in haemophilia.,0
ABBREVIATIONS: AE = adverse event AWARD = Assessment of Weekly AdministRation of  dulaglutide in Diabetes BID = twice daily CARMELA = The Cardiovascular Risk Factor Multiple Evaluation of Latin America CI = confidence interval GLP-1 RA = glucagon-like peptide-1 receptor agonist HbA1c = glycosylated hemoglobin T2D = type 2 diabetes.,0
"In this cohort, hypertension and haematuria were prevalent while renal disease was rare.",0
"""Further evaluation in a randomized trial enrolling TNBC patients is warranted.""",0
These findings imply that it is not useful to perform a meal challenge in cardiovascular risk stratification.,0
Our results support use of fasting TGc instead of postprandial TG responses for cardiovascular risk stratification in clinical practice.,0
The results have to be translated with consideration of limitation of population-based studies.,0
GNRI could identify patients with high risk for amputation in early time.,0
Further research is needed to define appropriate protocols for vitamin  D testing and supplementation in practice to see if this can improve cardiovascular disease risk.,0
"This is the largest cross sectional study of serum 25-OHD levels in  community dwelling individuals with established psychosis, indicating a high level of vitamin D deficiency.",0
"(Funded by the National Institute for Health Research and others; Current Controlled Trials number, ISRCTN71510001.)",0
"In gastrointestinal metastases, size (<35\\xa0mm) could be used to select patients.",0
"However, it lacked adequate sensitivity and specificity to replace the two-step approach in the diagnosis of  GDM.",0
"However, the association in the first-trimester and postpartum period should be validated by further research.",0
Future study comparing results pre and post intervention is needed.,0
Lipid management strategies in primary care should focus on improving adherence to treatment.,0
"None the less, both artificially sweetened beverages and fruit juice were unlikely to be healthy alternatives to sugar sweetened beverages for the prevention of type 2 diabetes.",0
Three real-life patterns of statin use were identified.,0
Half of the students had the perception that school curriculum inadequately informed them on breast cancer.,0
"These findings pose the question: Why has not the nutritional status of children improved, although the living conditions of their  families have significantly improved?",0
"Future research should explore the interactions between multitasking and safety, fall risk, and function in this vulnerable population.",0
"However, we analyzed a relatively small, homogenous sample of older adults with and without type 2 DM and factors such as  peripheral neuropathy and the use of multiple comparisons complicate interpretation of the data.",0
These results also warrant consideration by regulating bodies and public health officers to ensure safe practices.,0
Health professionals should account for dietary supplements when assessing diet.,0
Individuals were unsure of the benefits and risks associated with dietary supplementation.,0
Use of dietary supplements in this population reflects that of other countries.,0
"Despite an encouraging outcome based on anatomical data in advanced  PDR treated with vitrectomy and SO, the functional prognosis was not satisfying for patients.",0
"If gene-environment interactions involving common genetic variants exist, they are likely of small effect, requiring substantially larger samples for detection.",0
The results showed that nutritional assessment can be employed with  community-dwelling older adults.,0
"Within the non-specific chapters, we found a 30-day mortality, surpassing several of the more organ specific ICD-10 chapters.",0
"Future studies and more detailed analyses, considering confounding variables and including a larger and homogeneous population, are needed to strengthen the argument for a link between lipid metabolism and atopy.",0
Postprandial lipoprotein and vascular abnormalities differ between OH and SCH.,0
Identification of internal mammary metastases through IM-SLNB may provide more accurate staging  and guide the tailored internal mammary radiotherapy.,0
IM-SLNB has a high successful rate and good safety.,0
The results should be confirmed in a larger prospective study.,0
All patients with AAA should be tested for DM using HbA1c.,0
Half the patients with AAA and DM were unaware of their DM diagnosis.,0
"""Further development of a full Japanese version of the SCREEN II  is indicated.""",0
"It is important to make efforts to watch the growth of the children during their first 3 years of age, to focus on improving the diet of women at fertile age and pay special attention to  environmental conditions to break the vicious cycle of malnutrition.",0
"In ATARAO and ANRS, malnutrition was common across all indicators (BMI, hemoglobin, albumin) and persisted despite treatment.",0
"In such cases, competing causes of pain should carefully be taken into account when considering treatment with TNFi.",0
"Still, several myths regarding breast cancer persist.",0
"Our study demonstrates poor knowledge on breast cancer risk factors,  symptoms and curability among higher secondary school students in Western Nepal.",0
"The latter suggests that children on HAART require nutritional supplementation, especially during the early initiation of HAART.",0
"TRIAL REGISTRATION: Clinical Trial Registration: NCT01931111 (Date of trial registration: July 19, 2013).",0
These results should support allocative decisions of policymakers.,0
"Prospective studies with larger samples are needed to further elucidate the relationship between nutrient deficiencies and SCD, and to determine whether nutrient supplementation can improve the disease course.",0
Health practitioners are keen to provide preconception counselling and reported knowledge of evidence-based guidelines.,0
The earliest a surgeon and patient should consider a secondary treatment is at 38 days.,0
"(Funded by MÃ©decins sans FrontiÃ¨res Operational Center Paris; ClinicalTrials.gov number, NCT01613547.)",0
"In regions with adequate infrastructure for surveillance and management of complications, health care facilities could consider eliminating the routine use  of antibiotics in protocols for the treatment of uncomplicated severe acute malnutrition.",0
Improvements are needed in recommending high dose folate and optimising glucose control.,0
"To our knowledge, this is the first study to investigate the reproducibility of several biomechanical methods in a heterogeneous cohort.",0
"Most plantar pressure measurements were also within predefined acceptable limits; however, reproducibility was not as good for assessment of the maximum sensor pressure.",0
Nearly all measures contributing to three-dimensional gait parameter assessments were within predefined acceptable limits.,0
"Overall, the findings of this study suggest that important gait and plantar pressure measurements can be reliably acquired.",0
"""Gradients in the determinants of overweight persisted.""",0
"""The prevalence of overweight including obesity was stable among Swedish children between 2003 and 2011.""",0
Continued education and policy changes are required to support practitioners in opportunities to enhance pregnancy planning.,0
"Clinicians should recognize that an array of factors may contribute to gait and physical dysfunction in older adults with type 2 diabetes, and be prepared to assess and intervene appropriately.",0
"Future studies should aim at the measures necessary to address the inadequate knowledge, along with the perceived gap in school curriculum.",0
More attention to value in breast cancer care is warranted.,0
Legionella pneumonia did not always present as severe pneumonia.,0
TRIAL REGISTRATION: ClinicalTrials.gov: NCT00197730 and NCT00421668.,0
RELEVANCE TO CLINICAL PRACTICE: Medical staff should realise that the level of self-acceptance among women with breast cancer in China is low and has room to improve.,0
"However, as 97%  of cancers in our study showed interval change when a prior MR for comparison was available, new lesions or increasing size should lead to consideration of biopsy.",0
"This study demonstrates that the level of self-acceptance among women with breast cancer in China is low, and suggests that there is room to improve.",0
"Based on the effect size estimated, future studies would need to enroll >1500 patients or  identify, stratify, and selectively enroll obese patients without metabolic dysfunction to accurately determine whether breast-feeding in infancy influences  LARs or metabolic dysfunction among obese youth.",0
"Child undernutrition is a major public health concern in the plantation sector, Sri Lanka.",0
"For a full description of these Evidence-Based Medicine ratings, please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266.",0
LEVEL OF EVIDENCE III: This journal requires that authors assign a level of evidence to each article.,0
"Concerning patient symptoms, we did not find any objective reason to  justify implant explantation of PIP&Rofil implants as a solely precautionary measure.",0
"It is important to conduct appropriate interventions to improve self-acceptance among these women, based on an understanding of the factors associated with self-acceptance.",0
"Future randomized prospective studies may generate stronger evidence, with a standardization of surgical indications and operative techniques.",0
ABVS showed slight agreement with MRI in BRCA1/2 mutation carriers.,0
"The model, validated by means of logistic regression and bootstrap analysis, contains the variables AGE, TC, and CA 19.9 (three of the original six) and has a level 4 over 5 according to the criteria of Justice et al. (multiple independent validations) Ann. Intern.Med.1999; 130: 515.",0
These preliminary results on a small group of healthy high risk patients suggest  that the diagnostic abilities of ABVS are inferior to MRI.,0
A better management of acute malnutrition in our region should be based on the establishment of specialized and well equipped units for the treatment of malnutrition associated with severe infections.,0
Further studies encompassing larger groups are needed.,0
APBI in Japanese women provides satisfactory clinical results except  for cosmetic outcomes.,0
Dietary advice by  a dietitian and use of potentially helpful dietary supplements is indicated.,0
"There is some difficulty with the assessment of fibrosis and cosmetic outcomes, especially in patients with small breasts.",0
This review included a majority of low-level evidence studies that limit extrapolability of the results.,0
Our experience with 3D-CRT APBI demonstrates excellent cosmesis and  local control.,0
Longer follow up will be necessary to evaluate long-term efficacy  and toxicity of 3D-CRT APBI.,0
Sleeve dilatation occurred in more than 50\\xa0% of the patients.,0
"However, post-licensing surveillance is required.",0
An anti-rotavirus vaccine has already been introduced in Madagascar and should be promoted more widely.,0
"The prevalence of diabetes mellitus, hypertension and hypercholesterolemia in adults living with HIV in this study was considerably high, with most of these diseases newly identified through active screening in the survey.",0
Further studies with long term follow-up should evaluate the impact of Mets on PCa survival.,0
Both BCS and mastectomy are feasible in primary and secondary angiosarcoma if R0 can be achieved.,0
"Among individuals with a history of SAMS, most will tolerate statin  therapy.",0
"Overall, there was good agreement between the manual and automated feedback systems, giving promise to the use of automated systems for personalizing dietary advice.",0
The dietary feedback system was used to deliver personalized dietary advice within a multi-country study.,0
"As cholesterol concentrations increased and LMWC D4 decreased similarly in both SiO brands, their stability might be regarded as equal.",0
The smallest LMWC molecules (D4) appear to have the greatest capability to diffuse into the surrounding ocular tissues.,0
There were five major dietary patterns using FFQ among patients awaiting CABG surgery.,0
Further strategies to improve growth during initial hospitalization are needed.,0
"Despite both groups achieving target daily weight gain after attaining full feeds, growth failure continued to be a problem after stage 1 procedures.",0
"Thus, same-statin rechallenge might warrant increased utilization.",0
"After the successful treatment of a DFI, recurrent episodes are frequent.",0
Higher material and psychosocial deprivation may represent a barrier to reach an ideal CVH.,0
"Thus, broadening the spectrum of empiric antibiotic therapy for recurrent episodes of DFI does not appear necessary.",0
A total of 6.9% of people categorized as having prediabetes based on  A1c and fasting glucose would be categorized as having diabetes based on 2-h plasma glucose.,0
Small cancers on MRI may need to demonstrate growth to determine need for biopsy.,0
Many patients have a history of nutrient deficiency.,0
CLINICAL TRIAL REGISTRATION NUMBER: UMIN000001677.,0
These results suggest that predicted percent MD may be useful for research studies in which mammograms are unavailable.,0
"TRIAL REGISTRATION: KCSG BR13-11; ClinicalTrials.gov, NCT02263495.",0
The effect of marital status and education level on sexual function  merits particular attention.,0
